,Subject Number,sample A,sample B
0,ST-00016832,COO6187A145 ,COO6187A90 
1,ST-00016277,COO6187A147 ,COO6187A10 
2,ST-00017093,COO6187A148 ,COO6187A118 
3,ST-00017298,COO6187A149 ,COO6187A97 
4,ST-00016592,COO6187A150 ,COO6187A99 
5,ST-00016279,COO6187A151 ,COO6187A116 
6,ST-00016322,COO6187A156 ,COO6187A37 
7,ST-00016316,COO6187A157 ,COO6187A129 
8,ST-00016841,COO6187A158 ,COO6187A59 
9,ST-00016831,COO6187A159 ,COO6187A135 
10,ST-00016825,COO6187A160 ,COO6187A69 
11,ST-00016705,COO6187A162 ,COO6187A28 
12,ST-00016558,COO6187A163 ,COO6187A8 
13,ST-00016337,COO6187A164 ,COO6187A91 
14,ST-00016278,COO6187A167 ,COO6187A112 
15,ST-00016879,COO6187A168 ,COO6187A38 
16,ST-00016466,COO6187A169 ,COO6187A7 
17,ST-00016585,COO6187A170 ,COO6187A21 
18,ST-00016430,COO6187A172 ,COO6187A113 
19,ST-00016820,COO6187A174 ,COO6187A103 
20,ST-00016915,COO6187A175 ,COO6187A120 
21,ST-00016218,COO6187A176 ,COO6187A132 
22,ST-00016305,COO6187A177 ,COO6187A67 
23,ST-00016663,COO6187A180 ,COO6187A13 
24,ST-00016573,COO6187A181 ,COO6187A71 
25,ST-00016272,COO6187A182 ,COO6187A76 
26,ST-00016571,COO6187A183 ,COO6187A20 
27,ST-00016256,COO6187A184 ,COO6187A23 
28,ST-00016292,COO6187A185 ,COO6187A62 
29,ST-00016261,COO6187A186 ,COO6187A115 
30,ST-00016562,COO6187A187 ,COO6187A46 
31,ST-00017024,COO6187A188 ,COO6187A89 
32,ST-00016673,COO6187A191 ,COO6187A142 
33,ST-00017084,COO6187A192 ,COO6187A31 
34,ST-00016445,COO6187A194 ,COO6187A117 
35,ST-00016448,COO6187A195 ,COO6187A43 
36,ST-00016317,COO6187A196 ,COO6187A125 
37,ST-00016303,COO6187A197 ,COO6187A65 
38,ST-00016555,COO6187A198 ,COO6187A123 
39,ST-00016715,COO6187A200 ,COO6187A108 
40,ST-00016844,COO6187A202 ,COO6187A64 
41,ST-00016557,COO6187A203 ,COO6187A58 
42,ST-00017091,COO6187A204 ,COO6187A143 
43,ST-00016444,COO6187A205 ,COO6187A35 
44,ST-00016552,COO6187A206 ,COO6187A72 
45,ST-00016833,COO6187A207 ,COO6187A47 
46,ST-00016336,COO6187A208 ,COO6187A55 
47,ST-00017288,COO6187A209 ,COO6187A139 
48,ST-00016328,COO6187A211 ,COO6187A80 
49,ST-00016446,COO6187A212 ,COO6187A32 
50,ST-00016559,COO6187A213 ,COO6187A98 
51,ST-00016865,COO6187A214 ,COO6187A56 
52,ST-00016862,COO6187A216 ,COO6187A131 
53,ST-00016847,COO6187A217 ,COO6187A136 
54,ST-00016580,COO6187A218 ,COO6187A36 
55,ST-00016845,COO6187A219 ,COO6187A109 
56,ST-00017136,COO6187A221 ,COO6187A51 
57,ST-00016858,COO6187A222 ,COO6187A6 
58,ST-00016836,COO6187A224 ,COO6187A96 
59,ST-00017081,COO6187A225 ,COO6187A138 
60,ST-00016666,COO6187A226 ,COO6187A44 
61,ST-00016835,COO6187A227 ,COO6187A73 
62,ST-00016540,COO6187A229 ,COO6187A124 
63,ST-00016842,COO6187A230 ,COO6187A26 
64,ST-00017117,COO6187A231 ,COO6187A39 
65,ST-00016442,COO6187A233 ,COO6187A78 
66,ST-00017148,COO6187A234 ,COO6187A45 
67,ST-00017029,COO6187A235 ,COO6187A52 
68,ST-00016593,COO6187A236 ,COO6187A105 
69,ST-00016259,COO6187A237 ,COO6187A126 
70,ST-00016239,COO6187A238 ,COO6187A63 
71,ST-00016318,COO6187A241 ,COO6187A77 
72,ST-00016257,COO6187A243 ,COO6187A81 
73,ST-00016431,COO6187A244 ,COO6187A83 
74,ST-00016213,COO6187A245 ,COO6187A122 
75,ST-00016694,COO6187A246 ,COO6187A82 
76,ST-00017032,COO6187A250 ,COO6187A54 
77,ST-00016696,COO6187A251 ,COO6187A87 
78,ST-00016726,COO6187A252 ,COO6187A70 
79,ST-00016331,COO6187A253 ,COO6187A50 
80,ST-00016591,COO6187A254 ,COO6187A114 
81,ST-00016575,COO6187A255 ,COO6187A30 
82,ST-00016228,COO6187A256 ,COO6187A2 
83,ST-00016697,COO6187A257 ,COO6187A60 
84,ST-00016330,COO6187A258 ,COO6187A141 
85,ST-00016718,COO6187A259 ,COO6187A14 
86,ST-00017031,COO6187A260 ,COO6187A41 
87,ST-00016685,COO6187A262 ,COO6187A9 
88,ST-00016255,COO6187A264 ,COO6187A100 
89,ST-00016263,COO6187A265 ,COO6187A27 
90,ST-00016664,COO6187A267 ,COO6187A40 
91,ST-00016262,COO6187A268 ,COO6187A133 
92,ST-00016872,COO6187A269 ,COO6187A85 
93,ST-00016586,COO6187A271 ,COO6187A3 
94,ST-00017033,COO6187A272 ,COO6187A94 
95,ST-00016599,COO6187A274 ,COO6187A17 
96,ST-00016509,COO6187A275 ,COO6187A15 
97,ST-00016554,COO6187A276 ,COO6187A88 
98,ST-00017086,COO6187A278 ,COO6187A101 
99,ST-00016467,COO6187A279 ,COO6187A5 
100,ST-00016827,COO6187A280 ,COO6187A121 
101,ST-00016576,COO6187A281 ,COO6187A74 
102,ST-00016502,COO6187A282 ,COO6187A134 
103,ST-00016545,COO6187A284 ,COO6187A111 
104,ST-00017280,COO6187A286 ,COO6187A22 
